Feature,Importance_LR,Importance_XGB,Importance_LGB,Importance_LR_Norm,Importance_XGB_Norm,Importance_LGB_Norm,Avg_Importance
RevolvingUtilizationOfUnsecuredLines_log,0.5583102371798946,0.06854449,6,11.733621474545641,6.8544483,42.857142857142854,20.481737550056646
total_delinquencies,0.00026305400116526036,0.28157958,3,0.005528424649042069,28.157955,21.428571428571427,16.530685007632737
utilization_category,0.12405193857037015,0.23494834,0,2.6071140979263583,23.494831,0.0,8.700648394377145
worst_delinquency,0.4513568655639858,0.15995897,0,9.485856174187864,15.995895,0.0,8.493917186643351
has_delinquency,0.3944004047634746,0.021837115,1,8.288841491206762,2.1837113,7.142857142857143,5.871803308141135
NumberOfTimes90DaysLate_log,0.02270211428702212,0.014389152,2,0.4771146899639632,1.438915,14.285714285714286,5.40058132998174
age_income_interaction,0.2013053590575839,0.009950557,1,4.23069599423825,0.99505556,7.142857142857143,4.1228695644642315
NumberRealEstateLoansOrLines_log,0.12171213181139372,0.013957384,1,2.5579399918377987,1.3957382,7.142857142857143,3.6988451262505477
debt_extreme_flag,0.2336264164357911,0.040641632,0,4.909965381897278,4.0641627,0.0,2.9913760376893106
age_delinq_interaction,0.3415743135476766,0.017808322,0,7.178631939189764,1.7808319,0.0,2.9864879574037695
MonthlyIncome_outlier_flag,0.38971265417264683,0.0032328733,0,8.190322267776997,0.3232873,0.0,2.837869858664364
age,0.2893981252142159,0.0139724305,0,6.082080948146108,1.3972429,0.0,2.4931079506185063
credit_lines_per_dependent,0.25462234439468906,0.0075441254,0,5.351222329684819,0.7544124,0.0,2.035211580776084
NumberOfTime30-59DaysPastDueNotWorse_outlier_flag,0.20674741065583327,0.00082626264,0,4.345067842086402,0.08262625,0.0,1.475898031817624
income_missing,0.12763501548563969,0.016722485,0,2.6824171560438628,1.6722484,0.0,1.4515551731795788
has_90day_late,0.11493818371555328,0.01554559,0,2.415576593225782,1.5545588,0.0,1.3233784490643556
NumberOfDependents_log,0.16170849834578416,0.0032936537,0,3.398516062307571,0.32936534,0.0,1.2426271350543414
NumberOfOpenCreditLinesAndLoans_outlier_flag,0.12463579045637087,0.0051806206,0,2.6193845106311935,0.518062,0.0,1.0458155020458266
util_extreme_flag,0.13084718030313872,0.0033235312,0,2.7499250102303914,0.3323531,0.0,1.0274260318366186
monthly_debt_payment,0.11713518676581343,0.005353304,0,2.461749492186738,0.53533036,0.0,0.9990266157847091
NumberOfOpenCreditLinesAndLoans_log,0.03419685910143452,0.0127447825,0,0.7186918196975758,1.2744781,0.0,0.6643899658620215
NumberOfTime30-59DaysPastDueNotWorse_log,0.0370414984180307,0.011737484,0,0.7784756437254972,1.1737483,0.0,0.6507412995004994
MonthlyIncome_log,0.06500774689020855,0.00487218,0,1.3662230138850249,0.48721793,0.0,0.6178136489415181
DebtRatio_log,0.0532339824986369,0.0066386564,0,1.1187819219949748,0.66386557,0.0,0.5942158294162123
NumberOfTimes90DaysLate_outlier_flag,0.06614504929199079,0.0026502148,0,1.3901249146490342,0.26502144,0.0,0.5517154526720128
dependents_missing,0.0513374532099592,0.0031601202,0,1.078923872998529,0.316012,0.0,0.46497862269188744
util_debt_interaction,0.010956701018461117,0.010283647,0,0.2302694340869971,1.0283645,0.0,0.41954465774447347
NumberOfTime60-89DaysPastDueNotWorse_outlier_flag,0.04181267784412567,0.0018358266,0,0.8787482334879875,0.18358263,0.0,0.3541102890739123
NumberOfTime60-89DaysPastDueNotWorse_log,0.02701444499011957,0.0029088971,0,0.5677439723478773,0.29088968,0.0,0.2862112175778223
income_per_dependent,0.004779397395602946,0.0045578196,0,0.10044530116392021,0.4557819,0.0,0.1854090693357019
